"Ashe",9.22154796917464%
"Alleghany",5.042689434364995%
"Surry",2.8005622961335317%
"Currituck",26.741844542891663%
"Northampton",-4.96649398792833%
"Hertford",4.524332544778641%
"Camden",33.16182894864576%
"Gates",13.519736842105262%
"Warren",-0.6501033109912816%
"Stokes",4.477962697887068%
"Caswell",-0.034052696547907886%
"Rockingham",0.6806542924436569%
"Granville",18.084621231314923%
"Person",6.636089634386057%
"Vance",0.7922026930272306%
"Halifax",-3.9273939350023555%
"Pasquotank",17.779139080649344%
"Wilkes",2.6664689307429925%
"Watauga",8.532927717554308%
"Perquimans",13.518448079117535%
"Chowan",1.8977510636860946%
"Avery",5.060280942373631%
"Yadkin",5.35607342793907%
"Franklin",22.25950782997763%
"Forsyth",13.378653361219678%
"Guilford",13.290209912620499%
"Alamance",13.005886069635197%
"Bertie",1.2288326090214297%
"Orange",10.103106893562662%
"Durham",17.57745314426179%
"Nash",8.490437658979808%
"Mitchell",2.0480799250702466%
"Edgecombe",-6.817526941621684%
"Caldwell",4.637841832963784%
"Yancey",6.161237527057706%
"Martin",-7.429794736179322%
"Wake",32.281424596069634%
"Madison",6.477732793522267%
"Iredell",24.78169152276295%
"Davie",17.329188124451196%
"Alexander",10.45408516761712%
"Davidson",8.649527260093803%
"Burke",1.0115590890416284%
"Washington",-5.594028931979071%
"Tyrrell",2.2384542884071634%
"McDowell",6.009454577888775%
"Randolph",9.094456639141493%
"Chatham",23.23051543824701%
"Wilson",6.833442722269904%
"Rowan",8.219670030208501%
"Pitt",17.563337933753942%
"Catawba",11.297744332659283%
"Buncombe",12.225772007368048%
"Johnston",30.076364762134084%
"Haywood",6.714201857670661%
"Dare",11.87990707795454%
"Beaufort",4.244851014887862%
"Swain",6.718457775859589%
"Greene",11.04964605503727%
"Lee",18.318398347713117%
"Rutherford",1.672685206897091%
"Wayne",1.7350212433885372%
"Harnett",21.215032543968977%
"Cleveland",3.1610178014683696%
"Lincoln",18.351148947065223%
"Jackson",12.866989371777334%
"Moore",15.205779284847523%
"Mecklenburg",25.854857814220818%
"Cabarrus",26.907032513524065%
"Montgomery",2.7201508777020167%
"Stanly",4.585167181238915%
"Henderson",16.607750720083793%
"Graham",0.5845771144278606%
"Lenoir",-4.316194473592165%
"Transylvania",6.361924218725061%
"Gaston",9.555438361436167%
"Polk",5.716490866992539%
"Macon",13.503554330480197%
"Sampson",8.16937096454139%
"Pamlico",-0.6302030654321948%
"Cherokee",11.826396196973546%
"Cumberland",6.541072965477671%
"Jones",-0.9039657853810266%
"Union",40.41730098471856%
"Anson",0.2604474961524802%
"Hoke",27.275478223278938%
"Hyde",-7.3323507737656595%
"Duplin",9.79076266823564%
"Richmond",0.7015972533213912%
"Clay",19.14677969225099%
"Craven",8.39269433841283%
"Scotland",2.8630022396718746%
"Onslow",13.007128144599506%
"Robeson",6.6264421766647486%
"Carteret",7.924768195491054%
"Bladen",0.9178254596801425%
"Pender",24.683753162468374%
"Columbus",0.2732290205650376%
"New Hanover",19.573048364439096%
"Brunswick",35.406014041594915%
