"Martin",-7.429794736179322%
"Hyde",-7.3323507737656595%
"Edgecombe",-6.817526941621684%
"Washington",-5.594028931979071%
"Northampton",-4.96649398792833%
"Lenoir",-4.316194473592165%
"Halifax",-3.9273939350023555%
"Jones",-0.9039657853810266%
"Warren",-0.6501033109912816%
"Pamlico",-0.6302030654321948%
"Caswell",-0.034052696547907886%
"Anson",0.2604474961524802%
"Columbus",0.2732290205650376%
"Graham",0.5845771144278606%
"Rockingham",0.6806542924436569%
"Richmond",0.7015972533213912%
"Vance",0.7922026930272306%
"Bladen",0.9178254596801425%
"Burke",1.0115590890416284%
"Bertie",1.2288326090214297%
"Rutherford",1.672685206897091%
"Wayne",1.7350212433885372%
"Chowan",1.8977510636860946%
"Mitchell",2.0480799250702466%
"Tyrrell",2.2384542884071634%
"Wilkes",2.6664689307429925%
"Montgomery",2.7201508777020167%
"Surry",2.8005622961335317%
"Scotland",2.8630022396718746%
"Cleveland",3.1610178014683696%
"Beaufort",4.244851014887862%
"Stokes",4.477962697887068%
"Hertford",4.524332544778641%
"Stanly",4.585167181238915%
"Caldwell",4.637841832963784%
"Alleghany",5.042689434364995%
"Avery",5.060280942373631%
"Yadkin",5.35607342793907%
"Polk",5.716490866992539%
"McDowell",6.009454577888775%
"Yancey",6.161237527057706%
"Transylvania",6.361924218725061%
"Madison",6.477732793522267%
"Cumberland",6.541072965477671%
"Robeson",6.6264421766647486%
"Person",6.636089634386057%
"Haywood",6.714201857670661%
"Swain",6.718457775859589%
"Wilson",6.833442722269904%
"Carteret",7.924768195491054%
"Sampson",8.16937096454139%
"Rowan",8.219670030208501%
"Craven",8.39269433841283%
"Nash",8.490437658979808%
"Watauga",8.532927717554308%
"Davidson",8.649527260093803%
"Randolph",9.094456639141493%
"Ashe",9.22154796917464%
"Gaston",9.555438361436167%
"Duplin",9.79076266823564%
"Orange",10.103106893562662%
"Alexander",10.45408516761712%
"Greene",11.04964605503727%
"Catawba",11.297744332659283%
"Cherokee",11.826396196973546%
"Dare",11.87990707795454%
"Buncombe",12.225772007368048%
"Jackson",12.866989371777334%
"Alamance",13.005886069635197%
"Onslow",13.007128144599506%
"Guilford",13.290209912620499%
"Forsyth",13.378653361219678%
"Macon",13.503554330480197%
"Perquimans",13.518448079117535%
"Gates",13.519736842105262%
"Moore",15.205779284847523%
"Henderson",16.607750720083793%
"Davie",17.329188124451196%
"Pitt",17.563337933753942%
"Durham",17.57745314426179%
"Pasquotank",17.779139080649344%
"Granville",18.084621231314923%
"Lee",18.318398347713117%
"Lincoln",18.351148947065223%
"Clay",19.14677969225099%
"New Hanover",19.573048364439096%
"Harnett",21.215032543968977%
"Franklin",22.25950782997763%
"Chatham",23.23051543824701%
"Pender",24.683753162468374%
"Iredell",24.78169152276295%
"Mecklenburg",25.854857814220818%
"Currituck",26.741844542891663%
"Cabarrus",26.907032513524065%
"Hoke",27.275478223278938%
"Johnston",30.076364762134084%
"Wake",32.281424596069634%
"Camden",33.16182894864576%
"Brunswick",35.406014041594915%
"Union",40.41730098471856%
